LON,LAT,SI_NM
127.0541285,37.5258452,seoul
127.1279861,37.4322467,kyeonggi
126.9822511,37.5792721,seoul
126.9822511,37.5792721,seoul
126.8643846,37.3021977,kyeonggi
126.6762815,37.4136212,incheon
127.0031279,37.2671171,kyeonggi
126.843542,35.2216807,kwangju
126.9234458,37.5546262,seoul
126.923925,37.5522285,seoul
126.9236166,37.5517193,seoul
127.1491916,37.3844056,kyeonggi
128.3571851,36.0879272,gyeongbook
127.4601356,36.6497263,choongbook
128.711111,35.8374857,daegu
128.6339659,35.8583863,daegu
128.6297888,35.8663984,daegu
128.6091064,35.8932867,daegu
127.4269432,36.6315869,choongbook
126.8,36.5184,choongnam
128.4271596,34.8578867,gyeongnam
126.8112617,36.9526218,choongnam
127.438826,36.3654868,daejeon
128.5992022,35.8680916,daegu
128.5545403,35.8571288,daegu
128.5903178,35.8554991,daegu
128.5812824,35.8567356,daegu
128.5969103,35.8701932,daegu
128.6291277,35.8766183,daegu
128.5934647,35.8686266,daegu
128.5610459,35.9426585,daegu
128.5906579,35.8656823,daegu
128.5605358,35.9430962,daegu
128.5395945,35.8184011,daegu
128.5561603,35.8362377,daegu
128.4926929,35.8551297,daegu
128.6206752,35.8571154,daegu
128.6135071,35.8608134,daegu
128.7073095,35.8395559,daegu
128.5710581,35.8388826,daegu
128.5110108,35.8549684,daegu
128.6381412,35.8217616,daegu
128.5236534,35.8133557,daegu
128.5901516,35.8893813,daegu
128.5477963,35.9307512,daegu
128.5943185,35.8714525,daegu
129.340848,36.0255474,gyeongbook
129.362538,36.0361276,gyeongbook
128.6284828,35.8386988,daegu
129.1007053,35.1371554,busan
129.1109547,35.1327668,busan
127.043929,37.2592087,kyeonggi
128.0936773,36.1362834,gyeongbook
128.3555746,36.0878427,gyeongbook
126.9580161,35.9618375,jeonbook
128.6429596,34.8939234,gyeongnam
126.7355649,37.5336701,incheon
126.975547,37.3789894,kyeonggi
128.5970751,35.8686916,daegu
126.8562275,37.4786308,kyeonggi
127.1429998,37.5476433,seoul
126.8477708,37.5304888,seoul
126.9433194,37.5139059,seoul
127.4336747,36.331901,daejeon
127.4110754,36.3231957,daejeon
127.4275739,36.327509,daejeon
127.3448164,36.361333,daejeon
127.0688867,37.2049113,kyeonggi
127.1164218,37.4062829,kyeonggi
126.9361906,35.161506,kwangju
129.0838081,35.233832,busan
126.7320431,37.507846,incheon
129.3787579,36.0588954,gyeongbook
128.0863575,34.9407037,gyeongnam
128.6840928,35.2201318,gyeongnam
128.1597184,36.4157079,gyeongbook
127.0902226,37.3911365,kyeonggi
127.0765116,37.2479316,kyeonggi
126.9789622,37.2143815,kyeonggi
127.1304289,36.805142,choongnam
126.8107141,37.3365541,kyeonggi
127.0440335,37.465425,seoul
126.906878,37.5167125,seoul
129.2603932,35.5431032,ulsan
129.138376,35.551878,ulsan
129.4318973,35.4924484,ulsan
126.9994469,37.5710873,seoul
126.9880035,37.5698211,seoul
126.9880035,37.5698211,seoul
127.1267648,37.4573179,kyeonggi
128.5624899,35.179756,gyeongnam
127.1267648,37.4573179,kyeonggi
127.1267648,37.4573179,kyeonggi
127.1267648,37.4573179,kyeonggi
127.0293454,37.2750473,kyeonggi
126.8757457,37.5281527,seoul
126.8975566,37.5288079,seoul
129.0285135,35.0987042,busan
129.0285135,35.0987042,busan
127.217057,37.2655236,kyeonggi
127.0251815,37.2345255,kyeonggi
127.429066,36.6216667,choongbook
127.0189941,37.6408138,seoul
126.931184,35.1460869,kwangju
127.1014962,37.5421177,seoul
126.8926653,37.4808224,seoul
128.6198586,35.8980296,daegu
127.0027342,36.7818886,choongnam
126.9793579,37.5729503,seoul
126.9004094,37.4538733,seoul
126.6574185,37.4523716,incheon
127.0029142,36.7818342,choongnam
126.7220566,37.4014752,incheon
126.9852821,37.5699112,seoul
127.0019328,37.5833894,seoul
128.6747306,34.7364648,gyeongnam
129.0823957,35.1961328,busan
127.0319519,37.512012,seoul
127.0234316,37.5240393,seoul
127.0280556,37.4856225,seoul
128.6089054,35.840823,daegu
126.6515589,37.5309639,incheon
126.9725476,37.5453875,seoul
126.9059431,37.5183014,seoul
128.6963604,35.8632982,daegu
126.96225,37.3929453,kyeonggi
127.7300492,37.6884261,kangwon
126.9998737,37.582343,seoul
126.9857186,37.4947519,seoul
126.9244566,37.5539092,seoul
127.0816283,37.2667437,kyeonggi
127.0329111,37.4955243,seoul
126.9279038,37.5198562,seoul
127.6496449,34.7398851,jeonnam
126.90499,37.5522328,seoul
126.90499,37.5522328,seoul
126.7375821,37.5387761,incheon
127.0958877,37.5984208,seoul
127.0704167,37.1443252,kyeonggi
128.2087778,37.17498,choongbook
127.0618026,37.209315,kyeonggi
127.0570629,37.5047409,seoul
127.0242425,37.5201508,seoul
127.021627,37.5223133,seoul
127.0195856,37.5205456,seoul
127.1051892,37.3610368,kyeonggi
126.9806991,37.581332,seoul
126.9817002,37.5846376,seoul
129.0276387,35.3367321,gyeongnam
127.0010856,37.2678297,kyeonggi
129.3862195,36.0775367,gyeongbook
127.0496815,37.7394278,kyeonggi
126.9357593,37.4693183,seoul
127.1109846,37.3862151,kyeonggi
127.1055903,37.3702317,kyeonggi
126.6844165,37.790848,kyeonggi
126.6844165,37.790848,kyeonggi
126.6844165,37.790848,kyeonggi
126.6844165,37.790848,kyeonggi
126.6844165,37.790848,kyeonggi
126.923503,35.1490215,kwangju
127.1109479,37.3214616,kyeonggi
127.1277672,37.2713485,kyeonggi
127.0248112,37.502522,seoul
127.0272589,37.4994551,seoul
126.7332866,37.5427397,incheon
127.0019024,37.5784605,seoul
127.0271417,37.6246798,seoul
126.9820488,37.5797425,seoul
127.0481203,37.5056846,seoul
127.0252528,37.637986,seoul
127.0192826,37.5155161,seoul
126.9667303,37.5275673,seoul
126.9371252,37.5570316,seoul
127.0098508,37.5553068,seoul
126.9465796,37.5606558,seoul
126.9775261,37.5185013,seoul
127.0101614,37.6083759,seoul
126.9851485,37.5699137,seoul
126.9858681,37.5685999,seoul
127.0601688,37.5102323,seoul
126.94454,37.5881333,seoul
126.8319075,37.6351921,kyeonggi
129.1012276,35.1361771,busan
127.2854987,36.6186628,choongnam
126.9857055,37.4973099,seoul
126.9434743,37.5127891,seoul
126.7242269,37.6931699,kyeonggi
126.9228967,37.4002488,kyeonggi
126.9217615,37.5781999,seoul
127.0272589,37.4994551,seoul
127.0601688,37.5102323,seoul
127.0821194,37.3041056,kyeonggi
127.0467737,37.5041357,seoul
128.3108541,36.1460165,gyeongbook
128.6890029,35.2422308,gyeongnam
126.7696426,37.6595045,kyeonggi
127.4947665,36.6462932,choongbook
127.1294291,37.3845096,kyeonggi
129.030608,35.1021667,busan
126.924227,37.5554713,seoul
129.1491675,35.375409,gyeongnam
127.0525985,37.5067316,seoul
127.0547318,37.5905954,seoul
129.3659101,36.0403061,gyeongbook
127.0226747,37.5091198,seoul
128.6901442,35.9917111,daegu
127.4461514,37.2789584,kyeonggi
126.6539394,37.4586996,incheon
127.0005556,37.2675,kyeonggi
126.9856729,37.4951173,seoul
127.0833333,37.54111111,seoul
126.959601,37.5070763,seoul
127.0617862,37.5079862,seoul
127.1062761,37.37152,kyeonggi
127.1233517,37.3696592,kyeonggi
129.0647441,35.0778189,busan
128.8090288,35.2038321,gyeongnam
126.9858097,37.4946202,seoul
127.0462463,37.5183022,seoul
126.7172235,35.9662357,jeonbook
126.9916965,37.5647492,seoul
126.4523792,37.4478107,incheon
127.1241469,35.8177734,jeonbook
129.3312681,35.5432861,ulsan
126.9793579,37.5729503,seoul
127.1211959,37.3319367,kyeonggi
126.9041419,37.517007,seoul
127.0535573,37.5081026,seoul
127.4270209,36.327592,daejeon
126.9546518,37.391325,kyeonggi
126.9617547,37.3943052,kyeonggi
127.0272589,37.4994551,seoul
126.9109448,35.1336984,kwangju
127.0933675,37.5333713,seoul
127.0318061,37.4906325,seoul
127.3840784,36.3464172,daejeon
127.0281716,37.2774111,kyeonggi
127.0732948,37.206384,kyeonggi
127.0778571,37.2479583,kyeonggi
127.0778571,37.2479583,kyeonggi
128.3329924,36.1279168,gyeongbook
127.0788856,37.2483826,kyeonggi
129.3374312,35.5401481,ulsan
129.4303707,35.494919,ulsan
126.9131681,37.5482465,seoul
128.635742,35.8549357,daegu
126.8505191,37.3072053,kyeonggi
129.0606771,35.1974373,busan
126.6983355,35.9560474,jeonbook
127.1365765,37.4425251,kyeonggi
126.9515824,37.3468592,kyeonggi
128.6825963,35.2228328,gyeongnam
126.9303873,37.3592167,kyeonggi
126.7211633,37.493679,incheon
126.9294028,37.5655063,seoul
127.0954156,37.3245121,kyeonggi
126.9475985,37.5851421,seoul
127.1518725,37.4434081,kyeonggi
127.1212088,35.8654516,jeonbook
127.0628192,37.6570687,seoul
126.8336945,37.6140026,kyeonggi
126.7152142,35.9687963,jeonbook
126.9593818,37.478122,seoul
126.9141956,37.4814196,seoul
126.9386635,37.512873,seoul
127.0638843,37.6553724,seoul
128.6147271,35.8263605,daegu
